number,time,thscode,open,high,low,close,volume,amount,turnoverRatio,totalCapital,pe,pb
186,2022-07-19,603939.SH,196.2218,198.3033,189.2585,191.6805,2135708.0,108322110.0,0.2972,36397582824.5,31.5718,4.6455
187,2022-07-18,603939.SH,197.2436,200.0819,191.9833,197.1301,1668705.0,86799451.0,0.2322,37432380835.7,32.4694,4.7776
188,2022-07-15,603939.SH,198.0005,202.1634,195.0487,196.7895,1543444.0,81329725.0,0.2148,37367705960.0,32.4133,4.7693
189,2022-07-14,603939.SH,193.4592,202.4661,191.9076,198.3411,1935606.0,100937981.0,0.2694,37662335949.3,32.6689,4.8069
190,2022-07-13,603939.SH,195.7299,196.3732,188.8422,191.8698,3037698.0,153392209.0,0.4227,36433513311.0,31.603,4.6501
191,2022-07-12,603939.SH,202.0877,204.1691,194.4432,195.2,2158926.0,112845056.0,0.3004,37065889873.4,32.1515,4.7308
192,2022-07-11,603939.SH,197.9248,203.6393,195.6542,203.0338,2388796.0,127033797.0,0.3324,38553412014.5,33.4418,4.9206
193,2022-07-08,603939.SH,198.6817,201.9363,197.1301,199.1737,1781845.0,93919013.0,0.2481,37820430089.9,32.806,4.8271
194,2022-07-07,603939.SH,207.4237,207.4237,196.7895,198.7952,4804444.0,253322669.0,0.669,37748569116.9,32.7437,4.8179
195,2022-07-06,603939.SH,206.5911,210.981,201.3308,207.4994,3043967.0,166330838.0,0.4238,39401371495.9,34.1774,5.0289
196,2022-07-05,603939.SH,204.8503,209.5808,202.8446,206.2127,2712901.0,147570265.0,0.3777,39157044187.7,33.9654,4.9977
197,2022-07-04,603939.SH,197.8113,205.8721,194.1782,204.8124,3593107.0,192744108.0,0.5003,38891158587.6,33.7348,4.9637
198,2022-07-01,603939.SH,198.7952,202.3904,194.8973,195.9191,1096434.0,57336521.0,0.1529,37202425722.1,32.27,4.7482
199,2022-06-30,603939.SH,194.973,201.4065,194.973,199.9306,1558054.0,82434668.0,0.2173,37964152035.9,32.9307,4.8454
200,2022-06-29,603939.SH,193.0051,200.5739,191.0372,197.2058,2808557.0,146100905.0,0.3917,37446753030.3,34.3892,4.8278
201,2022-06-28,603939.SH,190.1289,194.7459,186.7608,194.3296,2349503.0,118801119.0,0.3276,36900609635.5,33.8876,4.7574
